GeneName	Lung_1	Lung_2	Lymph_1	Lymph_2	Lymph_3
DDX11L1	0	0	10	0	2
WASH7P	14	11	10	11	11
MIR6859-1	5	6	3	4	4
MIR1302-2HG	0	0	1	0	0
MIR1302-2	0	0	0	0	0
FAM138A	0	0	0	0	0
OR4G4P	0	0	1	0	0
OR4G11P	0	0	2	0	0
OR4F5	0	0	0	0	0
ENSG00000238009	0	0	14	2	4
ENSG00000239945	0	0	0	0	0
CICP27	3	0	15	3	7
ENSG00000268903	47	22	7	2	3
ENSG00000269981	18	18	3	4	7
ENSG00000239906	1	0	0	0	0
ENSG00000241860	36	30	15	22	26
RNU6-1100P	0	0	0	0	0
ENSG00000241599	0	0	0	0	0
DDX11L17	1	1	20	0	1
WASH9P	15	31	26	18	24
MIR6859-2	0	0	0	0	0
ENSG00000228463	2	4	42	3	5
ENSG00000286448	0	2	7	3	3
RPL23AP24	0	0	0	0	0
ENSG00000236601	0	0	4	0	0
ENSG00000237094	15	16	16	4	10
WBP1LP7	0	0	0	0	0
OR4F29	0	0	0	0	0
CICP7	0	0	0	0	0
ENSG00000250575	0	0	0	0	0
U6	1	2	0	0	0
ENSG00000230021	3304	2762	5761	3689	3217
ENSG00000235146	0	0	1	0	1
MTND1P23	46729	41892	22309	20345	19490
MTND2P28	233835	222441	96309	114120	102379
MTCO1P12	649818	578432	652745	725593	639526
ENSG00000278791	2121	1633	3229	2297	2121
MTCO2P12	175786	173762	164802	189875	171877
MTATP8P1	34494	35997	32172	32232	32083
MTATP6P1	152426	144173	145704	143286	125765
MTCO3P12	160593	145589	180302	201750	194489
WBP1LP6	0	0	0	0	0
OR4F16	0	0	0	0	0
CICP3	0	0	1	0	0
ENSG00000228327	119	102	40	63	78
RNU6-1199P	0	0	0	0	3
ENSG00000229905	0	0	0	0	0
LINC01409	34	32	32	14	13
ENSG00000285268	0	0	0	0	0
ENSG00000230092	7	7	0	11	7
FAM87B	4	0	21	2	5
LINC00115	68	46	58	44	37
LINC01128	114	140	144	125	88
ENSG00000288531	0	2	27	4	7
FAM41C	0	0	10	5	3
TUBB8P11	0	5	16	4	3
ENSG00000283040	8	0	10	0	2
ENSG00000272438	0	0	2	5	0
ENSG00000230699	2	7	28	1	9
ENSG00000241180	0	0	0	0	0
LINC02593	19	14	44	5	8
SAMD11	15	21	35	22	34
NOC2L	440	535	248	471	369
KLHL17	101	99	64	128	165
PLEKHN1	101	106	55	47	28
PERM1	6	11	25	2	7
ENSG00000272512	36	31	38	46	41
HES4	31	21	107	119	75
ISG15	38	30	62	33	27
ENSG00000231702	0	0	4	2	9
ENSG00000224969	0	0	4	1	8
AGRN	2564	2949	2545	5284	4018
ENSG00000242590	0	0	0	0	0
ENSG00000217801	31	51	118	123	94
ENSG00000273443	0	0	8	4	3
RNF223	36	25	14	2	3
C1orf159	129	162	74	103	91
ENSG00000285812	0	2	2	4	0
LINC01342	25	30	12	0	2
MIR200B	26	25	3	7	5
MIR200A	7	20	1	1	5
MIR429	1	13	2	0	2
ENSG00000272141	82	90	13	8	11
TTLL10-AS1	16	1	16	5	6
TTLL10	122	62	37	29	3
TNFRSF18	11	2	5	8	3
TNFRSF4	1	6	18	13	23
SDF4	907	1147	534	963	693
B3GALT6	95	162	73	86	69
C1QTNF12	3	13	14	8	10
ENSG00000260179	4	8	19	3	1
UBE2J2	448	502	282	309	301
LINC01786	3	17	13	9	0
SCNN1D	30	38	34	33	11
ACAP3	524	505	204	432	293
MIR6726	0	0	0	0	0
PUSL1	40	56	44	28	24
INTS11	633	737	444	825	706
MIR6727	0	0	0	0	0
ENSG00000240731	18	20	7	29	25
CPTP	156	198	74	106	42
TAS1R3	10	12	20	9	11
DVL1	992	1251	569	1194	1013
MIR6808	0	0	0	0	0
MXRA8	93	172	32	45	41
AURKAIP1	173	187	112	200	113
NDUFB4P8	0	3	0	0	0
CCNL2	2195	2548	1308	3167	2489
MRPL20-AS1	74	87	26	41	40
MRPL20	111	152	72	139	101
RN7SL657P	0	0	0	0	0
MRPL20-DT	26	30	13	22	27
ANKRD65	49	21	16	3	1
ANKRD65-AS1	0	0	9	1	0
TMEM88B	3	7	26	4	3
LINC01770	17	14	21	17	10
VWA1	541	588	123	252	195
ATAD3C	18	54	70	30	23
ATAD3B	383	456	218	390	334
ENSG00000284740	1	1	15	1	5
ATAD3A	114	148	123	152	116
TMEM240	10	21	15	18	16
SSU72	542	531	318	482	293
ENSG00000215014	3	7	18	13	20
ENSG00000274481	0	0	0	1	0
FNDC10	14	5	14	11	3
ENSG00000286989	7	3	16	6	5
ENSG00000272106	32	35	14	14	10
MIB2	722	614	368	614	405
MMP23B	8	13	3	3	1
CDK11B	295	311	190	249	229
ENSG00000272004	3	1	6	3	1
SLC35E2B	847	1001	437	1032	826
ENSG00000269737	0	1	8	5	9
MMP23A	0	0	1	0	0
CDK11A	54	56	45	45	65
ENSG00000268575	42	66	41	55	64
ENSG00000227775	4	3	37	8	7
SLC35E2A	124	142	54	91	105
NADK	1702	1904	581	794	591
GNB1	1825	1850	1021	1506	1338
GNB1-DT	16	35	7	20	5
CALML6	4	9	24	6	2
TMEM52	8	7	13	21	1
CFAP74	308	165	125	61	41
ENSG00000233542	1	2	27	8	6
GABRD	4	4	53	28	7
PRKCZ-DT	0	1	5	0	2
PRKCZ	509	291	207	130	95
ENSG00000271806	3	0	32	5	5
PRKCZ-AS1	14	16	12	3	7
FAAP20	412	441	224	311	234
ENSG00000234396	0	0	0	0	1
SKI	1104	1368	772	1361	1097
ENSG00000287356	11	7	42	15	6
MORN1	271	267	111	87	92
ENSG00000272161	0	0	8	0	1
ENSG00000269896	47	37	24	22	19
ENSG00000272420	9	11	2	6	8
RER1	972	1064	431	662	599
PEX10	70	96	80	99	45
PLCH2	27	77	83	52	44
ENSG00000224387	2	0	1	3	3
ENSG00000229393	0	1	0	0	4
PANK4	215	238	165	320	264
HES5	7	0	10	4	2
ENSG00000272449	17	29	69	56	49
TNFRSF14-AS1	390	346	111	208	129
TNFRSF14	1534	1403	991	1530	1310
ENSG00000225931	36	42	43	21	33
ENSG00000228037	16	3	9	13	9
ENSG00000289610	0	0	7	8	0
PRXL2B	870	1315	762	1285	1018
MMEL1	23	38	62	27	37
MMEL1-AS1	3	0	5	2	1
TTC34	96	70	74	34	23
ENSG00000285945	1	0	5	0	0
ENSG00000283259	19	6	16	2	11
ENSG00000233234	0	0	0	0	0
ENSG00000287396	0	0	5	0	4
ENSG00000231630	0	0	8	2	0
ENSG00000284745	1	0	19	3	3
ACTRT2	0	2	14	1	1
PRDM16-DT	31	27	26	11	9
PRDM16	199	149	95	27	20
MIR4251	3	0	2	0	0
ENSG00000226286	0	0	4	2	1
ENSG00000279839	28	2	22	11	6
ENSG00000272235	9	3	21	13	4
ENSG00000287828	0	4	1	1	0
ENSG00000286518	0	0	13	10	5
ARHGEF16	872	1053	535	1154	867
ENSG00000272088	4	5	7	4	1
MEGF6	820	1286	1487	3963	3006
MIR551A	0	3	5	1	3
ENSG00000238260	40	38	37	32	24
TPRG1L	282	277	101	148	127
WRAP73	126	145	92	129	79
TP73	67	88	81	19	21
TP73-AS3	0	3	4	5	3
TP73-AS2	0	1	4	0	0
TP73-AS1	481	385	146	220	199
ENSG00000276189	0	0	0	0	0
CCDC27	0	6	45	22	17
SMIM1	13	6	31	1	6
LRRC47	314	325	184	279	208
RN7SL574P	0	0	4	0	0
ENSG00000272153	0	1	3	2	0
CEP104	467	582	226	425	321
DFFB	91	95	81	79	69
C1orf174	96	104	74	108	88
LINC01134	36	80	75	37	36
LINC01346	1	0	56	14	7
LINC01345	5	3	22	11	2
LINC02780	0	4	27	13	3
ENSG00000284703	10	0	38	3	2
EEF1DP6	2	0	5	3	0
LINC01777	2	3	29	2	11
ENSG00000284694	0	1	16	10	4
ENSG00000227169	0	0	1	3	0
LINC01646	0	3	39	15	7
AJAP1	11	11	151	41	31
ENSG00000287586	5	1	21	12	5
ENSG00000284739	0	0	6	0	3
LINC02781	0	3	20	0	10
LINC02782	0	0	7	4	3
ENSG00000284616	4	0	2	6	2
ENSG00000284692	0	1	18	3	1
ENSG00000284666	0	0	6	0	2
ENSG00000260972	1	3	11	1	2
ENSG00000283356	0	1	7	1	5
ENSG00000236948	0	0	15	4	2
ENSG00000264341	1	0	7	0	3
ENSG00000289893	2	1	18	6	4
MIR4689	0	2	2	4	0
NPHP4	251	254	294	188	180
KCNAB2	450	243	256	160	124
CHD5	13	13	170	38	43
ENSG00000285629	1	1	3	1	1
RPL22	247	285	178	261	198
RNF207-AS1	1	7	4	0	2
RNF207	516	836	196	587	442
ICMT	493	662	147	409	291
ICMT-DT	1	2	18	5	2
HES3	0	1	4	2	0
GPR153	707	1482	643	1720	1379
ACOT7	86	73	113	123	110
ENSG00000271746	0	0	12	4	7
HES2	39	43	46	35	41
ESPN	49	30	58	25	14
MIR4252	0	0	0	0	0
ENSG00000231868	0	0	2	0	2
TNFRSF25	112	128	56	84	52
PLEKHG5	237	237	154	129	125
NOL9	374	575	180	270	226
RNU6-731P	0	0	2	0	0
ENSG00000229519	0	0	3	1	0
TAS1R1	8	0	36	7	9
ZBTB48	220	210	76	103	72
KLHL21	455	377	738	886	684
PHF13	117	175	167	230	187
THAP3	125	159	136	245	163
DNAJC11	593	687	255	546	425
