NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	195	-0.67658997	-2.5648935	0.0	0.0	0.0	3200	tags=32%, list=9%, signal=35%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	95	-0.7275289	-2.481599	0.0	0.0	0.0	4743	tags=52%, list=14%, signal=60%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	197	-0.6229079	-2.4221442	0.0	0.0	0.0	4608	tags=41%, list=13%, signal=47%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.6107371	-2.3199804	0.0	0.0	0.0	5816	tags=42%, list=17%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	-0.65367705	-2.2773767	0.0	0.0	0.0	6397	tags=52%, list=18%, signal=63%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	-0.5748464	-2.1064577	0.0	0.0	0.0	4859	tags=40%, list=14%, signal=47%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.5574013	-2.0569859	0.0	1.868132E-4	0.001	4764	tags=41%, list=14%, signal=47%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	-0.5318741	-2.0469406	0.0	3.269231E-4	0.002	4444	tags=36%, list=13%, signal=41%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	-0.59181315	-2.0437024	0.0	2.9059828E-4	0.002	3742	tags=44%, list=11%, signal=49%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	198	-0.5293341	-2.0404007	0.0	2.6153846E-4	0.002	4851	tags=33%, list=14%, signal=39%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	199	-0.5273923	-2.0016775	0.0	2.3776224E-4	0.002	3331	tags=32%, list=10%, signal=35%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	195	-0.53454834	-2.0009592	0.0	2.1794873E-4	0.002	4098	tags=35%, list=12%, signal=40%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	-0.6685272	-1.9675395	0.0024213076	4.5545693E-4	0.004	3600	tags=35%, list=10%, signal=39%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.6845605	-1.9104905	0.0048076925	0.0010062038	0.009	5095	tags=41%, list=15%, signal=48%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	198	-0.47679916	-1.8255389	0.0	0.0025348398	0.024	4113	tags=26%, list=12%, signal=29%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	131	-0.49021253	-1.7968013	0.0	0.0031140454	0.031	3159	tags=27%, list=9%, signal=29%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	78	-0.5364641	-1.7947732	0.0022624435	0.0029308663	0.031	4907	tags=40%, list=14%, signal=46%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	102	-0.51663995	-1.7902435	0.0023696683	0.002872978	0.032	5454	tags=35%, list=16%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	110	-0.50142574	-1.7888225	0.0	0.002721769	0.032	4581	tags=30%, list=13%, signal=34%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	195	-0.46052718	-1.7573754	0.0	0.0037345276	0.046	3180	tags=26%, list=9%, signal=28%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		199	-0.4472351	-1.744921	0.0022727272	0.003741728	0.048	2841	tags=27%, list=8%, signal=29%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		41	-0.5444961	-1.6098434	0.021634616	0.011922588	0.153	7453	tags=46%, list=21%, signal=59%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		199	-0.41303238	-1.6016271	0.0023255814	0.011923164	0.159	8630	tags=39%, list=25%, signal=51%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		73	-0.46885073	-1.5481861	0.020050125	0.01624275	0.214	4749	tags=34%, list=14%, signal=40%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		199	-0.400124	-1.5310825	0.0043668123	0.018264413	0.246	7405	tags=32%, list=21%, signal=41%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		196	-0.39406556	-1.511238	0.0044444446	0.02053191	0.284	3023	tags=23%, list=9%, signal=26%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		197	-0.37270376	-1.4479079	0.009478673	0.03202502	0.426	2507	tags=19%, list=7%, signal=21%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		158	-0.3885774	-1.4415854	0.018518519	0.032632817	0.45	3333	tags=27%, list=10%, signal=30%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		188	-0.35005754	-1.3135389	0.046620045	0.07887677	0.76	3201	tags=16%, list=9%, signal=18%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		149	-0.3528346	-1.2944199	0.083333336	0.08644859	0.809	8191	tags=42%, list=24%, signal=54%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		44	-0.39916092	-1.1643554	0.2550505	0.19701989	0.982	2646	tags=23%, list=8%, signal=25%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		199	-0.29614013	-1.12412	0.2027027	0.24017029	0.994	9274	tags=36%, list=27%, signal=48%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		54	-0.36353007	-1.1158762	0.27230048	0.24381404	0.998	2790	tags=26%, list=8%, signal=28%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		200	-0.19179301	-0.74168485	0.97590363	0.9495495	1.0	8962	tags=34%, list=26%, signal=46%	
