"","rnk"
"CXCR4",23.5620518955012
"ADM",20.0026385384388
"ANKRD37",19.5548442616148
"NDRG1",19.2996871408372
"DUSP5",19.2908949094792
"IGFBP3",18.9693100677548
"HILPDA",17.8238004992873
"HK2",17.8027311146128
"PTHLH",16.4872908378045
"G0S2",16.1397686292749
"CXCL8",15.425590849996
"ENSG00000289298",14.7093736802495
"ENO2",14.6722301350289
"TMEM132A",14.3316285556369
"IER3",13.2850871748207
"NDUFA4L2",12.7958593859149
"OLAH",12.7682167094307
"PFKFB4",12.6922779584372
"PPFIA4",12.3541363028891
"IL1A",11.9836313389818
"EREG",11.9603082779593
"LOX",11.7320234857042
"KRT17",11.5212858344381
"LOXL2",11.4191608305596
"VEGFA",11.3733226283401
"DNER",11.2078455432162
"GRB10",11.156309679518
"ITPRIP",11.0308366350954
"RHCG",10.8902884888792
"PID1",10.5506433398639
"CCL20",10.3569163119644
"ACKR3",10.281512169279
"HSPA5",10.0732328055322
"CD300A",9.65193280844366
"SLC2A1",9.47405395467506
"ITGA5",9.29767964131566
"GAD1",9.29536511399248
"ERRFI1",9.19331970354587
"AKAP12",9.18685361147929
"GBE1",9.15217574185736
"ANGPTL4",8.99534079600359
"CDA",8.95623101575046
"COL11A1",8.91907421840788
"STC1",8.7392848436233
"NXPH4",8.71660860755516
"FOXQ1",8.70386236993036
"PNCK",8.6958351927662
"BMP2",8.61384233506517
"COL22A1",8.55060778946948
"LINC01667",8.50904398449544
"EGLN3",8.4011899446258
"SLC23A4P",8.3464390673316
"CACNA1A",8.17937104115391
"HIF1A-AS3",8.01570555163594
"PORCN",8.00638728912597
"KCNT1",7.95934918301221
"LAMB3",7.84045720018977
"UPP1",7.81792815748255
"LRRC7",7.64367199291533
"MS4A1",7.58639229987258
"IGF2BP1",7.58558373618285
"ITPRID1",7.56135891170331
"AVPI1",7.55604732558501
"ENSG00000289252",7.51596267721898
"OSBP2",7.51340572134569
"KLHDC7B",7.35121184948545
"MAFK",7.34470287114763
"MUC19",7.30045439556855
"MT2A",7.29266178361716
"TMEM158",7.25010141444468
"PRDM1",7.21911667566404
"GAPDH",7.1635673402774
"FN1",7.12828366731363
"LINC02725",7.03564269331996
"KCNA2",7.01727284056813
"SMTN",6.96266371307476
"KDM7A-DT",6.93434628592466
"DPP6",6.90587868777903
"BNIP3L",6.81704237564959
"AREG",6.77908375653015
"FLG",6.75965457247805
"NOD2",6.74746834167455
"KRT17P2",6.697736464682
"GARS1",6.671451433487
"LVRN",6.65030224244239
"FSCN1",6.56023175891337
"SERPINE1",6.54671632452113
"LINC01287",6.50588101889124
"HSPA6",6.47612721695385
"XACT",6.4731021092905
"COL7A1",6.42071897715106
"MEGF11",6.41627468789811
"ALDOA",6.40534433580473
"F3",6.35720617663725
"EEF1A2",6.31707372247972
"SLC2A3",6.29692470359613
"FOSB",6.29359328665953
"SLC6A8",6.26491272493474
"ESPNP",6.25777313168426
"PGK1",6.17814466609739
"SHMT2",6.17308510354674
"ENSG00000280356",6.14782980019611
"CNTN2",6.07302438374345
"DRAXIN",6.04537133342635
"MIR7515HG",6.0289540802287
"PRSS23-AS1",6.02734831715183
"KRT6A",5.98734862408902
"HCAR2",5.98321953760776
"FAM210A",5.96986189400678
"LAMC2",5.96854387367719
"ENSG00000279072",5.96296377692093
"DDIT3",5.95649975467867
"EPIC1",5.90953678798576
"BHLHE40",5.87992893947754
"FAM135B",5.86251151817982
"KISS1R",5.85480593357759
"ARID3A",5.85231403786694
"ENSG00000242593",5.80062775912794
"SCAT1",5.73428615434085
"CCDC26",5.73402622374268
"PLOD2",5.72770716582127
"LINC00390",5.72422996266684
"MAST1",5.71267060464326
"ENSG00000267665",5.67505509468597
"PANTR1",5.67079698122719
"UNC80",5.65641526732331
"LINC00511",5.63398739091182
"LINC00486",5.63111329914545
"ENSG00000225813",5.57849562783873
"KCNK9",5.56883124656461
"ENSG00000228538",5.55788314507159
"FOXC2",5.5465233302169
"KDM3A",5.52378217065126
"SPHK1",5.50323023927633
"SLC4A10",5.46213966226294
"CSMD2",5.46020371681984
"IRAK2",5.44278975367202
"ENSG00000275216",5.4425816442225
"NCF1",5.44017245774832
"ENSG00000287001",5.43678481119218
"LINC00466",5.4341200467872
"ITPKA",5.43267421119297
"TNFAIP3",5.43213738108225
"MFSD2A",5.41636332886311
"ENSG00000286125",5.4130855599578
"AP3B2",5.41280126385335
"PTGS2",5.40820232801753
"KIF5C",5.38875338755824
"PCA3",5.38506743167682
"DNAH17",5.37882686423661
"ENSG00000264659",5.34211963824306
"BSND",5.32955403134942
"HELLPAR",5.32565397314691
"EIF4A3",5.32282407174676
"LINC01568",5.31262642410382
"MEIOSIN",5.29369683422455
"MIR3976HG",5.29107075935073
"CALN1",5.28997925330212
"RHPN2P1",5.28740939584882
"HCAR3",5.27906303121986
"LINC00598",5.26401234661425
"SESN2",5.2638898498782
"TUBA4A",5.24776801094801
"SLC8A1-AS1",5.2077244740857
"MROH5",5.18585323750927
"ENSG00000234810",5.1677715018781
"SLC1A6",5.15223291552527
"LONP1",5.14932433130707
"OTOG",5.14849333176731
"SYT3",5.13675346568082
"GABBR2",5.12922007738356
"LINC01234",5.11128589829796
"ENO1",5.10796613249203
"RGS7",5.10785435144917
"ENSG00000280441",5.10323466056607
"RBFOX3",5.09940859034456
"MIR9-3HG",5.08998528272229
"PDK1",5.08535345132289
"EFNA1",5.08332638944716
"ENSG00000279712",5.05949418993058
"ENSG00000250697",5.04900302656088
"LINC01630",5.03527315781678
"TRIM67",5.01696378970362
"ACSM2B",5.00914771709559
"LINC00520",4.99397139983373
"ABCA17P",4.99293361981329
"ENSG00000287452",4.9887665904735
"ENSG00000254362",4.98258495266688
"NFKBIA",4.96313785177449
"NRXN2",4.95535528123111
"P4HA3",4.94823046754559
"BLK",4.94743818234253
"OR1I1",4.94409415355319
"CACNA1I",4.93466996702835
"NCCRP1",4.93319800957239
"MSC-AS1",4.91204088508824
"SV2C",4.90496379068086
"RGS8",4.90447681832979
"CEACAM20",4.90008146919492
"WSCD2",4.89998314573413
"ENSG00000215156",4.89090445398163
"MIR124-1HG",4.87898397151842
"SEMA5B",4.86727668929118
"HES4",4.85225298486105
"AZIN2",4.83969031940358
"DLX6-AS1",4.83786890487845
"MYO3B-AS1",4.83190978296051
"LINC02055",4.82992492299647
"MT1X",4.81284715941497
"TIPARP",4.81060572591718
"ENSG00000231881",4.7933201575697
"HCG20",4.78876826550551
"PWRN1",4.78292782803256
"DCST1",4.77278196414498
"ENSG00000286788",4.7634197973991
"SMOX",4.76316833404078
"SCN4A",4.73889645966507
"NPSR1-AS1",4.73253169280867
"PIWIL1",4.72415960293655
"HCN2",4.71356595205312
"PAX6",4.7118388037585
"ENSG00000258676",4.70967117906213
"LINC01606",4.70439114403519
"LINC00683",4.69473270908793
"SNHG6",4.68754794525255
"NR4A2",4.67671750456708
"SOX2-OT",4.66763389075314
"ABCC11",4.65474351077379
"OR10H5",4.6396802781758
"RAI14",4.63551538163345
"ZAN",4.63525487552254
"ENSG00000225790",4.62892743602623
"MROH2A",4.62006885348632
"UGT3A1",4.61020228374076
"RNMT",4.60835242318551
"ACSM5P1",4.59318560531473
"MEGF6",4.59108711912194
"OTOGL",4.58731394675032
"LINC00384",4.58629488172025
"JMJD6",4.58549053610607
"OR2C3",4.5792839546387
"MYH16",4.5778668060576
"ENSG00000257703",4.57516180565805
"ALDOC",4.56157429683068
"GRM8",4.5497776075251
"CLMP",4.54745072849797
"B4GALNT1",4.54547089849202
"ENSG00000279217",4.53439795112714
"CTNNA2",4.52236276124726
"CYP27C1",4.52098814246299
"MMP8",4.51291357095616
"CSMD3",4.51258240288916
"CACNA1E",4.50554018214655
"DLGAP1",4.50133005513722
"IL1RAP",4.4942665767884
"BZW1",4.49220090143983
"LINC00293",4.49125557071707
"LINC02073",4.491087987288
"SCN5A",4.47606299022838
"LINC01435",4.47288447794149
"OTUD7A",4.47130269045646
"OR4D1",4.46764973245228
"FOSL1",4.46058469432543
"FBXO24",4.45289051084018
"CEACAM22P",4.45215425610128
"STAB2",4.44886816719755
"CSF3",4.4474719184409
"OR10J1",4.44584508367068
"SSPOP",4.43674836109956
"TULP2",4.43460903053741
"TMC3",4.43283811676223
"SEMG2",4.43197197528279
"ADGRF5P1",4.43043349627042
"CHD5",4.42115371567449
"ENSG00000255087",4.41148295828485
"KIF5A",4.41108459583048
"OTOF",4.41017911692539
"SPATA3-AS1",4.4080750040054
"ENSG00000253894",4.40654600887115
"ENSG00000232900",4.39499793066109
"GRHL1",4.38938726923369
"MIR9-1HG",4.38485046181564
"CACNA1S",4.38166971764213
"ENSG00000268460",4.37924502082117
"TSBP1-AS1",4.37377369419933
"LMX1B",4.37356321541289
"CYP17A1",4.37265541889943
"LINC02660",4.36363104712565
"LINC02359",4.35337482897422
"POU6F2",4.35212368236862
"LGI1",4.3508218987924
"NKAIN1",4.34530102261526
"CSRNP1",4.33858303079996
"LRRC37A16P",4.3373113676833
"C5orf64",4.32836673328833
"ENSG00000279159",4.32144088001631
"ENSG00000233290",4.31678169977948
"MCTP2",4.29819131811143
"AJAP1",4.29459672950258
"ENSG00000257639",4.29402309716905
"FRMD1",4.28820297043173
"GRIN2B",4.28645329684401
"CHRNA4",4.27971018003229
"PFKFB3",4.27641460812563
"SLC22A24",4.26868496788479
"MAP4K1",4.25956572696822
"LINC01115",4.24712911642549
"ENSG00000270533",4.2443124161256
"KDM7A",4.24416463579809
"LINC01141",4.23965433600683
"ISX",4.23521383851556
"STEAP1B",4.22568481375264
"EIF4EBP1",4.22103242959838
"CAMK1G",4.2075648403724
"ENSG00000284430",4.2072476761327
"LINC01524",4.20697336383971
"SRRM4",4.20567311332123
"BCL11B",4.20311184666628
"PTPRVP",4.20172959761014
"IGKV1-27",4.20089528252429
"SEZ6",4.19623804922255
"SH2D5",4.19489894900725
"TRPM1",4.19449234187996
"ACSM2A",4.18866437787292
"CSPG4BP",4.18702013770549
"JUNB",4.1853545626478
"PPP1R15A",4.18451559118795
"NFKBIE",4.18304345947796
"SPHKAP",4.18101944547727
"CYP2E1",4.1654095883796
"KCNS1",4.16162457582955
"CYFIP2",4.15842699315989
"CCR9",4.15289983211482
"EVX1",4.14765658121731
"ATP8A2",4.14574586921832
"PADI6",4.14483258469273
"OPRD1",4.13816743811403
"PHLDA1",4.13699168907352
"ENSG00000287372",4.13316951086534
"ABCB4",4.13141784412334
"CACNA2D3",4.13065676253374
"ENSG00000261790",4.12287446536818
"OPN5",4.1228085502568
"MAMLD1",4.12238519022582
"ZNF683",4.12224790841654
"CRB1",4.12214018594694
"NFIL3",4.11729151797657
"OR2AJ1",4.10091636508001
"TMC1",4.09931791651844
"KDM4B",4.09886781610762
"GRIK3",4.09865485610343
"XKR4",4.09771242239913
"BCAR3",4.094512065278
"ENSG00000255342",4.0931070959186
"ZNF847P",4.09085473447992
"ENSG00000280418",4.08975470468956
"LINC01705",4.08770883222457
"EPB41L1-AS1",4.08152303131144
"PTPRD",4.0765854541643
"CASP14",4.06363631855897
"ENSG00000289251",4.06116852596845
"LINC01226",4.0524250111557
"GALR1",4.04357297375444
"LINC02965",4.0429412195391
"PTPRN",4.02890260865633
"PPP2R2B",4.02581836228805
"ANKRD33",4.02420573367806
"ENSG00000255216",4.0229707091412
"ENSG00000285564",4.01999226240269
"LINC00320",4.01927439542213
"MYO15A",4.01911486536811
"ENSG00000286757",4.01827224424759
"SERPINB9",4.01632918057658
"IGLV4-69",4.01489131573747
"PLIN2",4.01357985352931
"TMEM132D",4.01193574025592
"TPI1",4.00425789090574
